42,42 Coin
300,300 token
365,365Coin
404,404Coin
433,433 Token
611,SixEleven
808,808
888,Octocoin
1337,EliteCoin
2015,2015 coin
BTCD,BitcoinDark
CRAIG,CraigsCoin
XBS,Bitstake
XPY,PayCoin
PRC,ProsperCoin
YBC,YbCoin
DANK,DarkKush
GIVE,GiveCoin
KOBO,KoboCoin
DT,DarkToken
CETI,CETUS Coin
SUP,Supcoin
XPD,PetroDollar
GEO,GeoCoin
CHASH,CleverHash
NXTI,NXTI
WOLF,Insanity Coin
XDP,DogeParty
AC,Asia Coin
ACOIN,ACoin
AERO,Aero Coin
ALF,AlphaCoin
AEGIS,Aegis
ALIEN,AlienCoin
APEX,ApexCoin
ARCH,ArchCoin
ARG,Argentum
ARI,AriCoin
AXR,AXRON
BEAN,BeanCash
BLU,BlueCoin
BOST,BoostCoin
BQC,BQCoin
XMY,MyriadCoin
ZET,ZetaCoin
SXC,SexCoin
QTL,Quatloo
ENRG,EnergyCoin
RIC,Riecoin
LIMX,LimeCoinX
BTB,BitBar
CAIX,CAIx
BTMK,BitMark
BUK,CryptoBuk
CACH,Cachecoin
CANN,CannabisCoin
CAP,BottleCaps
CASH,CashCoin
CBX,CryptoBullion
CCN,CannaCoin
CIN,CinderCoin
CINNI,CINNICOIN
CXC,CheckCoin
CLAM,CLAMS
CLR,CopperLark
CMC,CosmosCoin
CNC,ChinaCoin
CNL,ConcealCoin
COMM,Community Coin
COOL,CoolCoin
CRACK,CrackCoin
CRYPT,CryptCoin
DEM,eMark
DIAM,Diamond
DRKC,DarkCash
DSB,DarkShibe
EAC,EarthCoin
EFL,E-Gulden
ELC,Elacoin
EMD,Emerald
EXCL,Exclusive Coin
EZC,EZCoin
FLAP,Flappy Coin
FC2,Fuel2Coin
FFC,FireflyCoin
FIBRE,FIBRE
FRC,FireRoosterCoin
FLT,FlutterCoin
FRK,Franko
FRAC,FractalCoin
FSTC,FastCoin
GDC,GrandCoin
GLX,GalaxyCoin
GLYPH,GlyphCoin
GML,GameLeagueCoin
GUE,GuerillaCoin
HAL,Halcyon
HBN,HoboNickels
HUC,HunterCoin
HVC,HeavyCoin
HYP,HyperStake
ICB,IceBergCoin
IFC,Infinite Coin
IXC,IXcoin
JBS,JumBucks Coin
JKC,JunkCoin
JUDGE,JudgeCoin
KDC,Klondike Coin
KEYC,KeyCoin
KGC,KrugerCoin
LK7,Lucky7Coin
LKY,LuckyCoin
LSD,LightSpeedCoin
LTCD,LitecoinDark
LTCX,LitecoinX
LXC,LibrexCoin
LYC,LycanCoin
MAX,MaxCoin
MINRL,Minerals Coin
MINT,MintCoin
MN,Cryptsy Mining Contract
MINC,MinCoin
MRY,MurrayCoin
MZC,MazaCoin
NAN,NanoToken
NAUT,Nautilus Coin
NBL,Nybble
NET,NetCoin
NMB,Nimbus Coin
NRB,NoirBits
NOBL,NobleCoin
NRS,NoirShares
NYAN,NyanCoin
ORB,Orbitcoin
OPSC,OpenSourceCoin
PHS,PhilosophersStone
POINTS,Cryptsy Points
PSEUD,PseudoCash
PXC,PhoenixCoin
PYC,PayCoin
RIPO,RipOffCoin
RPC,RonPaulCoin
RT2,RotoCoin
RYC,RoyalCoin
RZR,RazorCoin
SAT2,Saturn2Coin
SBC,StableCoin
SDC,ShadowCash
SFR,SaffronCoin
SHADE,ShadeCoin
SHLD,ShieldCoin
SILK,SilkCoin
SLG,SterlingCoin
SMC,SmartCoin
SOLE,SoleCoin
SPOTS,Spots
SRC,SecureCoin
SWIFT,BitSwift
TAG,TagCoin
TAK,TakCoin
TES,TeslaCoin
TGC,TigerCoin
TIT,TittieCoin
TOR,TorCoin
TRC,TerraCoin
TITC,TitCoin
ULTC,Umbrella
UNB,UnbreakableCoin
UNO,Unobtanium
URO,UroCoin
